chr	str	end	type	specificity	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD	Bonferroni_celltype_chimp	Bonferroni_celltype_human	Bonferroni_celltype_macaq
chr11	57239629	57240962	OD_hyper	OD_hyper	1334	12	113.317846808151	0.597	0.8692	0.6936	0.8877	0.5658	0.8762	0.000116297197442312	1.03381397210838e-77	1.26239235044177e-42
chr3	35013442	35015445	OD_hyper	OD_hyper	2004	9	113.308193891626	0.4094	0.7827	0.5483	0.7885	0.5886	0.8216	7.3517481768495e-12	6.75587528481832e-56	1.360606082994e-89
chr12	89990334	89992465	OD_hyper	OD_hyper	2132	10	113.296218081873	0.7267	0.9358	0.7711	0.9248	0.7134	0.8793	4.8069050681071e-12	8.72543799956776e-67	1.59509539160678e-34
chr2	25232844	25233380	OD_hyper	OD_hyper	537	9	113.290614926356	0.5946	0.8877	0.6779	0.9005	0.6519	0.8882	2.22245731457748e-12	1.46333651662708e-26	2.96891423616534e-69
chr3	31724226	31725082	OD_hyper	OD_hyper	857	7	113.258977279037	0.6293	0.9479	0.4963	0.9285	0.2392	0.7851	2.24997760954556e-107	3.70393324760857e-115	3.48616317257933e-94
chr20	48071808	48073524	OD_hyper	OD_hyper	1717	9	113.246023022991	0.5481	0.9402	0.6707	0.9316	0.4848	0.8836	5.25780557137139e-20	8.31980232123088e-145	1.30757411177126e-35
chr21	26994774	26997002	OD_hyper	OD_hyper	2229	10	113.24151272926	0.6668	0.8625	0.6337	0.8789	0.3783	0.8139	9.13539282804021e-18	9.48646446501645e-39	4.09231893921793e-183
chr11	58292902	58293806	OD_hyper	OD_hyper	905	9	113.238227913393	0.503	0.8042	0.5883	0.8792	0.4499	0.806	1.31181421453263e-13	2.98106645941606e-41	8.03781604021636e-62
chr3	177549946	177551392	OD_hyper	OD_hyper	1447	9	113.218075108874	0.5347	0.7584	0.6393	0.8102	0.3329	0.5893	3.49548532619667e-26	6.3517887139579e-51	1.55658043871516e-30
chr2	37715959	37716647	OD_hyper	OD_hyper	689	8	113.208519768781	0.5428	0.8633	0.5334	0.9171	0.3742	0.8653	1.27084656791803e-20	4.65271915304638e-42	1.99393103174722e-88
chr11	126861584	126863333	OD_hyper	OD_hyper	1750	11	113.206692938925	0.6323	0.9053	0.7072	0.8802	0.6074	0.8798	2.42050595953291e-11	1.34233047955501e-49	1.18393714200695e-72
chr6	16375391	16377235	OD_hyper	OD_hyper	1845	8	113.175583129391	0.5655	0.8818	0.6172	0.8504	0.7585	0.9438	8.65244786691633e-20	1.14991957517872e-83	1.99563146516775e-24
chr16	8124942	8126896	OD_hyper	OD_hyper	1955	8	113.165841910671	0.5834	0.8464	0.5881	0.9457	0.6251	0.8797	1.95135280165086e-17	5.97501170692666e-45	1.55812648991956e-57
chr17	6044153	6044518	OD_hyper	OD_hyper	366	7	113.158188864991	0.3921	0.7988	0.4282	0.8298	0.4181	0.7377	3.08821563066759e-67	7.78525559331157e-33	4.76090569690443e-28
chr11	114088912	114089767	OD_hyper	OD_hyper	856	10	113.154511704167	0.7471	0.9301	0.6652	0.8302	0.5715	0.8908	3.50357276051881e-21	8.55012441897264e-45	3.40101105774454e-60
chr4	2589673	2590637	OD_hyper	OD_hyper	965	8	113.152784769458	0.4989	0.9218	0.4138	0.8126	0.3828	0.5574	1.06248364579809e-16	5.28650669823299e-58	6.34176764839464e-10
chr12	67851214	67852088	OD_hyper	OD_hyper	875	8	113.146916576307	0.418	0.839	0.5405	0.8921	0.5002	0.8612	1.56814189891521e-10	6.19974543724924e-43	1.86830702059872e-70
chr2	2118557	2119458	OD_hyper	OD_hyper	902	9	113.129523811258	0.5476	0.8356	0.6738	0.9145	0.6479	0.829	3.17903219475948e-74	1.55400068769768e-27	1.24766965178386e-13
chr8	31930490	31932915	OD_hyper	OD_hyper	2426	11	113.115242914979	0.382	0.7075	0.4472	0.6252	0.4543	0.8552	4.65322246461702e-16	1.26379284454331e-78	3.07981267029303e-73
chr11	45285878	45286705	OD_hyper	OD_hyper	828	7	113.11475261956	0.4435	0.8392	0.4726	0.8707	0.5206	0.9102	8.56824929775579e-26	5.76971563967534e-79	4.04357428773247e-110
chr4	154514378	154515770	OD_hyper	OD_hyper	1393	9	113.076009558852	0.6613	0.9201	0.5913	0.9141	0.6938	0.957	1.12968144011774e-23	4.57804124580258e-36	8.08533173350468e-82
chr7	138531308	138533701	OD_hyper	OD_hyper	2394	9	113.072759657796	0.5936	0.9152	0.6732	0.9096	0.5927	0.7766	2.5676629325107e-17	4.43049276593821e-65	1.51140314752093e-16
chr4	188062229	188062769	OD_hyper	OD_hyper	541	9	113.06425919035	0.5739	0.8863	0.7861	0.9391	0.709	0.8764	6.99200977745583e-26	9.35859756943108e-50	2.20119579095129e-15
chr12	80234550	80237173	OD_hyper	OD_hyper	2624	10	113.059887007281	0.5751	0.9135	0.6699	0.9412	0.5854	0.8868	7.22075749564297e-25	3.05994519694493e-149	1.15941179664482e-42
chr5	60624229	60625579	OD_hyper	OD_hyper	1351	10	113.055039294435	0.533	0.8429	0.6006	0.8388	0.5598	0.7174	9.16734976521189e-06	2.93173645458807e-40	4.58077146910925e-13
chr4	103517844	103518401	OD_hyper	OD_hyper	558	7	113.048679700338	0.6469	0.9027	0.6684	0.9305	0.7157	0.9547	3.21696276654091e-103	1.21433789855933e-49	1.0595747035593e-67
chr5	81514305	81515029	OD_hyper	OD_hyper	725	8	113.040183377841	0.3875	0.748	0.4612	0.7142	0.2716	0.4541	4.0624453706811e-12	1.47301302287097e-96	9.57980964300638e-16
chr17	53465771	53466781	OD_hyper	OD_hyper	1011	8	113.039517913624	0.422	0.8249	0.5235	0.8393	0.3855	0.7581	5.9376551697562e-11	1.74156159543871e-51	1.85809622860413e-65
chr3	61750972	61752245	OD_hyper	OD_hyper	1274	9	113.033665691399	0.5063	0.7861	0.6042	0.8101	0.5984	0.9167	1.20862558110885e-08	1.1143352009513e-40	2.80390445116318e-71
chr11	125271157	125272002	OD_hyper	OD_hyper	846	10	113.024041746102	0.5822	0.9196	0.5841	0.8637	0.6787	0.912	2.52418949403123e-14	2.01719634879273e-110	1.32736612977963e-18
chr20	5979447	5981546	OD_hyper	OD_hyper	2100	7	113.020877168441	0.513	0.9399	0.5576	0.9141	0.6122	0.9447	1.98965111227959e-32	3.12199731137878e-179	6.7371190883272e-108
chr10	89553779	89555659	OD_hyper	OD_hyper	1881	7	113.010152720066	0.6284	0.9426	0.596	0.9359	0.6538	0.9403	5.74755110200219e-21	9.58905012073477e-106	3.37231273373146e-49
chr1	48535025	48535640	OD_hyper	OD_hyper	616	9	112.999887420353	0.6395	0.9164	0.6094	0.893	0.465	0.9106	9.03765286617148e-45	3.82674673430038e-29	1.66437256349685e-78
chr13	95202579	95203540	OD_hyper	OD_hyper	962	10	112.984012126198	0.3529	0.6992	0.4807	0.6824	0.4697	0.8786	2.77316489903366e-11	1.84507898173613e-39	5.95642600649209e-28
chr11	130469874	130471014	OD_hyper	OD_hyper	1141	7	112.974993431711	0.5242	0.9053	0.5927	0.9046	0.5068	0.8742	2.21822139542064e-09	8.99058345801837e-73	1.52290224996699e-41
chr3	34392093	34394440	OD_hyper	OD_hyper	2348	11	112.960146632269	0.5867	0.84	0.5822	0.7448	0.5373	0.7261	2.12950669577766e-11	6.47325469253719e-84	9.56660036278256e-12
chr6	28848110	28848693	OD_hyper	OD_hyper	584	11	112.959315629272	0.2607	0.4902	0.3662	0.5514	0.5316	0.6992	1.06287364480193e-13	4.5814167217218e-52	1.23921128830775e-18
chr17	55599192	55599865	OD_hyper	OD_hyper	674	8	112.943982430328	0.5238	0.9205	0.5806	0.9195	0.363	0.9116	1.2394093848156e-18	8.07179743599263e-45	2.66045890103498e-60
chr2	222352091	222354073	OD_hyper	OD_hyper	1983	9	112.933512947531	0.6653	0.9364	0.704	0.8915	0.6389	0.8448	1.80554448981593e-12	2.68372987035852e-160	3.14892871914808e-28
chr14	102235696	102237362	OD_hyper	OD_hyper	1667	8	112.917591711581	0.4619	0.7177	0.4076	0.7505	0.76	0.9175	5.36822286897891e-53	1.09619834230302e-81	4.30312376642562e-28
chr11	116133308	116135293	OD_hyper	OD_hyper	1986	9	112.916623594416	0.5091	0.873	0.6843	0.8468	0.6229	0.821	0.000710369645248371	1.5063603532494e-73	1.51804513011762e-20
chr17	74707686	74708216	OD_hyper	OD_hyper	531	9	112.911731900408	0.5119	0.7947	0.4351	0.7705	0.4996	0.7749	3.24777329295125e-44	7.73853668737578e-70	2.50713528907158e-34
chr6	147537469	147539701	OD_hyper	OD_hyper	2233	11	112.9048961841	0.6052	0.8687	0.6435	0.812	0.7566	0.9287	4.75108426352789e-18	5.93019059982868e-105	2.9584472961693e-27
chr10	112246232	112247537	OD_hyper	OD_hyper	1306	8	112.891587080246	0.5238	0.8636	0.6622	0.9182	0.5346	0.8897	4.67377284728069e-28	8.10487251435929e-133	2.45454371857927e-141
chr10	14432281	14434803	OD_hyper	OD_hyper	2523	7	112.874030369058	0.6047	0.9248	0.5293	0.9273	0.6395	0.9498	8.1702605040291e-168	5.8131441836583e-65	8.15704255661112e-164
chr2	158298233	158299434	OD_hyper	OD_hyper	1202	9	112.865095491196	0.5731	0.8824	0.6412	0.8838	0.6609	0.9057	1.59506313118223e-08	1.16820117323771e-38	8.65194964258695e-30
chr7	132253522	132255281	OD_hyper	OD_hyper	1760	9	112.855740225005	0.7111	0.9292	0.7013	0.9306	0.6749	0.9184	2.79319937474724e-26	2.74580951671471e-71	3.66951599757485e-86
chr13	66932676	66934478	OD_hyper	OD_hyper	1803	9	112.852154143542	0.501	0.7697	0.5956	0.8808	0.5648	0.7216	3.62557938906226e-19	3.84271698959128e-43	7.73897532047688e-18
chr3	9150178	9151446	OD_hyper	OD_hyper	1269	5	112.815562600237	0.3558	0.9237	0.3586	0.9396	0.3944	0.966	1.31030850183984e-37	6.2793535835541e-118	1.48446727627631e-145
chr20	4867903	4868691	OD_hyper	OD_hyper	789	12	112.7961983751	0.4943	0.7343	0.5639	0.8765	0.4598	0.8465	2.26595736658953e-11	2.86588159489124e-28	4.15293842442796e-47
chr15	25274629	25276265	OD_hyper	OD_hyper	1637	9	112.784828514944	0.4485	0.731	0.4762	0.7135	0.4236	0.6906	3.07487309851531e-46	1.25630812905442e-79	4.75049210246392e-82
chr15	55386130	55387892	OD_hyper	OD_hyper	1763	8	112.774096957425	0.5611	0.8351	0.5848	0.8848	0.6533	0.9225	2.46245484633512e-132	3.36288399364551e-98	1.39396238181111e-134
chr4	113443721	113444081	OD_hyper	OD_hyper	361	16	112.773545909681	0.4245	0.6527	0.3101	0.6018	0.3684	0.7402	7.90753518931785e-09	1.52508260534857e-11	3.80021950798933e-13
chr5	139120475	139120692	OD_hyper	OD_hyper	218	5	112.759363899888	0.1342	0.7173	0.165	0.7665	0.0557	0.7021	1.17795221896004e-46	6.74208586809209e-134	4.67241044686982e-128
chr1	22026833	22027337	OD_hyper	OD_hyper	505	8	112.747696376207	0.645	0.9446	0.6735	0.9447	0.6637	0.8628	7.99751131555688e-95	4.07077075170627e-90	8.59864192105096e-34
chr10	22794961	22795513	OD_hyper	OD_hyper	553	7	112.719209104327	0.4401	0.9148	0.4684	0.8669	0.7356	0.9172	4.87227671338537e-14	3.32726245317584e-71	5.0073286431201e-21
chr4	33727240	33729288	OD_hyper	OD_hyper	2049	6	112.716502734917	0.5439	0.9115	0.5528	0.9188	0.6211	0.944	3.93689192985133e-94	5.36036832289473e-137	1.88769471419246e-164
chr1	74583899	74585502	OD_hyper	OD_hyper	1604	8	112.712547814954	0.4978	0.917	0.6674	0.9348	0.4796	0.9357	1.12514857433034e-19	1.58648186947699e-65	3.16475608617104e-54
chr7	106903063	106904025	OD_hyper	OD_hyper	963	5	112.711130907962	0.4143	0.7867	0.4998	0.9402	0.6049	0.9516	2.94476724515559e-39	2.27432322725668e-55	6.3346299567069e-70
chr18	66392236	66392997	OD_hyper	OD_hyper	762	8	112.708068213687	0.5753	0.8915	0.5758	0.882	0.5502	0.9347	1.29630364289802e-10	1.2177689121989e-60	1.42124072490571e-34
chr2	144483685	144484295	OD_hyper	OD_hyper	611	7	112.705376024993	0.319	0.7287	0.1644	0.4841	0.2004	0.6536	4.01529472792836e-35	2.39293867479496e-54	2.64574758261542e-60
chr3	147107587	147107783	OD_hyper	OD_hyper	197	11	112.702514412805	0.5293	0.8152	0.5685	0.8154	0.3583	0.5947	3.42330769620768e-10	2.13528042759554e-11	1.69107971388945e-07
chr1	230779251	230780351	OD_hyper	OD_hyper	1101	8	112.685582798939	0.392	0.7113	0.5029	0.8466	0.4123	0.8437	5.52222023146371e-41	1.44672970393231e-43	9.59890663364182e-106
chr1	232579600	232580618	OD_hyper	OD_hyper	1019	6	112.680893057297	0.6257	0.9584	0.6887	0.96	0.7512	0.963	9.55834453587321e-77	1.63835260948039e-88	1.1323160512979e-161
chr14	30850284	30851803	OD_hyper	OD_hyper	1520	6	112.679145579767	0.6546	0.9577	0.5981	0.9468	0.5756	0.8242	4.83767581292891e-35	2.45575016764722e-150	1.65397024949541e-37
chr17	31054203	31055877	OD_hyper	OD_hyper	1675	9	112.655927192634	0.6953	0.9596	0.6898	0.9557	0.7296	0.9566	5.81979016725899e-14	1.4837749348935e-153	1.1866508582573e-46
chr5	166767134	166768363	OD_hyper	OD_hyper	1230	8	112.637172198886	0.7511	0.9532	0.6949	0.9335	0.5548	0.9118	1.68496959231467e-14	3.81178444041716e-72	5.14276590324151e-120
chr4	129383584	129383848	OD_hyper	OD_hyper	265	6	112.635630633927	0.395	0.815	0.3706	0.7764	0.3174	0.6636	2.54303685909498e-13	1.87590827868462e-35	6.48728573717117e-13
chr10	74915984	74916956	OD_hyper	OD_hyper	973	9	112.633498403886	0.6172	0.8895	0.6618	0.9007	0.7657	0.9225	6.98596473557222e-43	3.86878952225065e-59	4.27053300412338e-16
chr9	101408696	101410110	OD_hyper	OD_hyper	1415	7	112.628981947262	0.63	0.9113	0.648	0.898	0.5303	0.8801	5.59337645201047e-12	1.67732870309664e-56	2.82039943115162e-66
chr1	87589649	87589983	OD_hyper	OD_hyper	335	8	112.619765038255	0.6683	0.9542	0.5822	0.94	0.662	0.9114	5.90030734951122e-50	1.69985016454341e-40	4.94924940132073e-48
chr3	34387055	34389310	OD_hyper	OD_hyper	2256	9	112.603480126703	0.6402	0.9217	0.6405	0.9104	0.5787	0.8373	1.19341355113553e-09	7.78797415014401e-104	5.40919246278199e-57
chr3	6825382	6828866	OD_hyper	OD_hyper	3485	10	112.587423053749	0.6051	0.8935	0.6674	0.8872	0.6679	0.8884	3.11808408822366e-22	1.34503362693683e-54	1.8863128335719e-78
chr15	61488101	61489071	OD_hyper	OD_hyper	971	9	112.582635285096	0.6291	0.8695	0.6106	0.8546	0.6166	0.861	1.39774379878875e-19	1.65036933836301e-21	9.06642487773135e-81
chr7	130675417	130676321	OD_hyper	OD_hyper	905	9	112.581641546671	0.5242	0.8583	0.5605	0.8095	0.702	0.9308	4.37762099226486e-16	4.59998065847299e-77	2.47032869586538e-22
chr9	132618273	132619489	OD_hyper	OD_hyper	1217	5	112.573228525016	0.4907	0.9315	0.3886	0.9089	0.3026	0.8909	1.32854801855929e-46	2.94574933311511e-211	7.04359280401356e-151
chr1	14904532	14905581	OD_hyper	OD_hyper	1050	7	112.552746604132	0.634	0.9554	0.6492	0.9546	0.5089	0.8714	1.19161070307955e-62	7.59037198381626e-87	2.9241374193168e-100
chr18	70229589	70230329	OD_hyper	OD_hyper	741	5	112.539738300135	0.5443	0.9204	0.3684	0.7986	0.5111	0.8993	9.29881960502395e-33	4.788134387891e-145	8.36473801356699e-109
chr9	119241377	119243487	OD_hyper	OD_hyper	2111	8	112.521529807849	0.6912	0.8572	0.5896	0.8897	0.7495	0.9191	2.50202445316866e-17	1.85963918092836e-36	7.75492708386373e-23
chr20	49348806	49349200	OD_hyper	OD_hyper	395	9	112.512892271731	0.1388	0.44	0.2151	0.4434	0.0716	0.2225	2.13295327353122e-19	3.79665034115008e-61	1.68017735463477e-30
chr8	110819608	110820225	OD_hyper	OD_hyper	618	6	112.485195731786	0.5394	0.9359	0.6332	0.9488	0.4174	0.8295	9.28878600198872e-30	3.29886488659006e-76	2.74765952754824e-42
chr4	25785715	25786313	OD_hyper	OD_hyper	599	9	112.481123309085	0.4017	0.7045	0.4318	0.8516	0.4096	0.6271	1.25225069396051e-13	1.50757542762454e-29	8.51924147488539e-16
chr14	103362209	103363039	OD_hyper	OD_hyper	831	12	112.476074638249	0.7137	0.9041	0.7846	0.9359	0.7924	0.9521	1.68310696236514e-10	6.86859324557768e-80	1.37722207538261e-43
chr9	138600182	138600473	OD_hyper	OD_hyper	292	6	112.458252830616	0.3812	0.8903	0.6249	0.9271	0.3892	0.7861	4.22442584577743e-12	1.11163878553769e-83	3.98547880515546e-35
chr10	77919936	77920993	OD_hyper	OD_hyper	1058	9	112.453470198511	0.5313	0.7806	0.5285	0.7944	0.3779	0.804	1.21602641737718e-11	3.10980005971512e-39	5.33717122815515e-59
chr16	58558151	58559474	OD_hyper	OD_hyper	1324	11	112.450681215529	0.7215	0.9048	0.6981	0.9082	0.6354	0.8151	4.17109401646156e-26	1.49852857463139e-46	2.8764174682004e-47
chr22	19355190	19356312	OD_hyper	OD_hyper	1123	10	112.444415647338	0.756	0.9448	0.7391	0.9476	0.7802	0.942	4.24212979802875e-73	4.99095642697367e-49	8.12333474992832e-59
chr8	131019255	131019796	OD_hyper	OD_hyper	542	7	112.423358427632	0.5399	0.8596	0.667	0.9267	0.5259	0.7443	6.77894397942163e-20	2.37539340698181e-42	5.33983883642349e-22
chr2	128593618	128594652	OD_hyper	OD_hyper	1035	10	112.417068013328	0.7203	0.9286	0.6895	0.9476	0.4771	0.9486	4.80923892818298e-20	5.32435199305778e-56	2.17265811526748e-303
chr5	22187670	22189325	OD_hyper	OD_hyper	1656	9	112.402860210879	0.5246	0.7841	0.5887	0.8646	0.5524	0.7326	9.72851163756991e-16	2.58710400904237e-27	6.96617340823284e-15
chr13	77752043	77753979	OD_hyper	OD_hyper	1937	8	112.375983832785	0.7383	0.9477	0.7832	0.957	0.7282	0.9341	2.83963743861773e-43	1.53363184497444e-116	1.31849451758546e-57
chr18	25216161	25216847	OD_hyper	OD_hyper	687	9	112.336976521481	0.6451	0.8748	0.6565	0.894	0.5305	0.9268	1.30636714106266e-13	6.15129063378565e-31	1.38904914785518e-117
chr4	8526052	8526525	OD_hyper	OD_hyper	474	7	112.327933347657	0.3972	0.9172	0.4826	0.9176	0.7448	0.9275	3.88147237627388e-10	2.16256058499232e-106	1.33137884160816e-13
chr13	44833072	44833804	OD_hyper	OD_hyper	733	9	112.29339805874	0.4485	0.8211	0.6342	0.8796	0.4442	0.9069	5.22471861098461e-11	1.46534689611956e-42	1.85392381295383e-128
chr6	164667935	164669438	OD_hyper	OD_hyper	1504	12	112.291345910224	0.4119	0.6566	0.5162	0.8615	0.5688	0.7717	6.33124017499748e-28	9.48765705466949e-29	1.04474697172093e-19
chr16	6108071	6110673	OD_hyper	OD_hyper	2603	10	112.284804074468	0.4959	0.7262	0.5268	0.7663	0.5025	0.8561	2.32155773944088e-17	5.07970974893879e-25	1.12559866214455e-141
chr12	67187778	67189690	OD_hyper	OD_hyper	1913	7	112.281958449554	0.6057	0.9302	0.6898	0.9572	0.6456	0.8283	1.68269882257591e-52	2.03059058640135e-154	4.2802193320284e-47
chr9	101071149	101071874	OD_hyper	OD_hyper	726	7	112.268810045805	0.6268	0.9593	0.6067	0.9501	0.6338	0.9585	8.10266095344299e-64	4.92284886340461e-94	1.586435380856e-49
chr5	53581260	53582676	OD_hyper	OD_hyper	1417	9	112.259191394605	0.5542	0.9068	0.5081	0.8161	0.5835	0.8988	6.57212521702893e-26	5.01434558335899e-101	6.89214468503624e-21
chr3	44103674	44104749	OD_hyper	OD_hyper	1076	10	112.235995168437	0.6486	0.9151	0.6803	0.9101	0.684	0.8439	4.39650600824985e-07	5.86557435049998e-41	7.95494107809879e-11
chr6	14505530	14506681	OD_hyper	OD_hyper	1152	11	112.216732073075	0.706	0.9274	0.6864	0.9115	0.5701	0.8822	2.71045564006014e-42	4.09068362979214e-80	8.2893584935869e-105
chr3	115394658	115396450	OD_hyper	OD_hyper	1793	9	112.214929165217	0.5186	0.9336	0.498	0.9061	0.4266	0.9037	1.07735498499384e-34	9.75844041198196e-118	3.27930670175799e-105
chr8	35653552	35654153	OD_hyper	OD_hyper	602	6	112.202250089476	0.4583	0.959	0.5004	0.9513	0.3965	0.9603	4.84390652075493e-31	1.04199677959441e-57	2.92480474074674e-106
chr2	101628572	101629235	OD_hyper	OD_hyper	664	8	112.193847941886	0.2591	0.6155	0.4726	0.697	0.1053	0.5239	2.44745133174125e-25	2.49848403920491e-134	3.23503199240849e-49
chr3	104309382	104311858	OD_hyper	OD_hyper	2477	9	112.181405786557	0.692	0.9274	0.7484	0.9313	0.6689	0.9179	1.04918960495695e-19	1.19966907948265e-100	3.47608214654562e-120
chr18	53953682	53954743	OD_hyper	OD_hyper	1062	9	112.174206725453	0.6449	0.8654	0.6674	0.8809	0.4935	0.7358	1.43346134850401e-12	1.75204060605174e-49	2.35639666352451e-27
chr15	58089996	58091917	OD_hyper	OD_hyper	1922	11	112.15905314196	0.6699	0.8814	0.5878	0.8898	0.6276	0.8664	2.05323055253248e-99	1.52086695024693e-60	7.92620452324177e-40
chr6	13621024	13622191	OD_hyper	OD_hyper	1168	7	112.155501266034	0.5038	0.8586	0.6326	0.8933	0.5035	0.8689	1.45258684998821e-18	1.94705840000041e-81	1.19354568893187e-102
chr1	88911037	88914222	OD_hyper	OD_hyper	3186	11	112.143976024234	0.7092	0.9162	0.7222	0.9231	0.7216	0.8994	3.51460296145907e-12	3.45260355007316e-35	6.36914361030125e-39
chr19	57590005	57591361	OD_hyper	OD_hyper	1357	6	112.122645360301	0.2328	0.6031	0.1827	0.6596	0.4421	0.7351	2.43186439908205e-82	7.80248215840477e-72	9.46750086002713e-21
chr16	68432264	68432687	OD_hyper	OD_hyper	424	5	112.099435069245	0.4952	0.946	0.3737	0.9393	0.4043	0.9144	7.9705926886711e-52	3.32971063268254e-54	2.54430748531062e-68
chr1	49201784	49202402	OD_hyper	OD_hyper	619	10	112.09335303423	0.4961	0.7726	0.5567	0.8442	0.4041	0.6404	7.22430770212389e-12	1.37928402275067e-25	1.90026165326656e-26
chr11	70350252	70351158	OD_hyper	OD_hyper	907	5	112.083491282073	0.5584	0.9382	0.4843	0.9453	0.607	0.9521	1.05736236807606e-38	1.7634822787915e-126	6.34961658639207e-178
chr7	116730851	116732249	OD_hyper	OD_hyper	1399	12	112.082988709696	0.7276	0.9097	0.6822	0.9032	0.6396	0.8118	1.20201897552885e-24	5.89511466114949e-56	2.81710103392164e-27
chr4	839868	840056	OD_hyper	OD_hyper	189	6	112.076398748622	0.3831	0.8637	0.3475	0.8291	0.3102	0.6735	4.23474040198468e-18	8.4444664989609e-80	1.09423685381012e-15
chr6	150611224	150612336	OD_hyper	OD_hyper	1113	7	112.073811416888	0.2276	0.6531	0.42	0.8593	0.5047	0.7735	1.10225868585439e-54	4.66526457883851e-60	1.10010292268237e-18
chr12	70810955	70812844	OD_hyper	OD_hyper	1890	11	112.067304109008	0.5473	0.8106	0.597	0.7631	0.4477	0.7948	1.80958765077819e-08	1.27688106420865e-79	6.24406120295219e-90
chr3	132388180	132388931	OD_hyper	OD_hyper	752	7	112.042665746655	0.5745	0.914	0.5202	0.9056	0.7315	0.9572	4.41527903064163e-16	6.29843347176633e-76	3.94441022231996e-32
chr2	40470864	40472488	OD_hyper	OD_hyper	1625	8	112.034744403479	0.6212	0.8684	0.625	0.8645	0.6296	0.875	1.46566137984137e-58	3.50789078767516e-41	2.27578844826736e-98
chr1	184663705	184665584	OD_hyper	OD_hyper	1880	8	112.030721641111	0.3936	0.7837	0.4587	0.8253	0.5865	0.9124	4.90405825103002e-89	1.0445090410427e-87	1.79119795007998e-241
chr17	67398682	67399700	OD_hyper	OD_hyper	1019	9	112.009754096022	0.6144	0.8706	0.6023	0.901	0.7641	0.9417	1.94824764321843e-12	7.41296312569895e-26	1.80568269516688e-100
chr2	101227206	101227509	OD_hyper	OD_hyper	304	7	112.008917270761	0.4089	0.8369	0.3955	0.7839	0.2766	0.7243	3.45107071071361e-18	3.50306310843201e-50	2.96622281200484e-41
chr2	9555687	9557031	OD_hyper	OD_hyper	1345	8	112.00605313499	0.6623	0.8584	0.5416	0.921	0.6691	0.9333	6.17900232411204e-29	2.09878285246951e-22	7.11597282749695e-58
chr18	35053261	35053664	OD_hyper	OD_hyper	404	6	111.989775014091	0.4394	0.8897	0.4406	0.9039	0.5951	0.8876	1.30352422811515e-58	6.91357888522924e-123	1.96073109029421e-54
chr1	208033594	208034899	OD_hyper	OD_hyper	1306	9	111.972811251046	0.6148	0.8795	0.5675	0.8731	0.6709	0.9358	1.89982154658159e-13	1.76617673094966e-45	8.3226133158246e-46
chr15	47737851	47738786	OD_hyper	OD_hyper	936	7	111.956369255855	0.5871	0.9514	0.6678	0.9066	0.6025	0.9582	2.99685698216259e-17	1.05376374153187e-48	7.06859096409586e-89
chr7	111526707	111527012	OD_hyper	OD_hyper	306	6	111.944969377222	0.5783	0.9627	0.5686	0.9291	0.356	0.6994	2.20897204572083e-29	2.77197412119246e-59	2.63037407381816e-28
chr9	134839001	134839334	OD_hyper	OD_hyper	334	6	111.933884395877	0.433	0.7527	0.4136	0.8892	0.4767	0.8265	9.88735864991818e-109	1.01573659258817e-67	4.68290315665289e-46
chr8	56498609	56500625	OD_hyper	OD_hyper	2017	8	111.928982050208	0.6493	0.8913	0.7485	0.9317	0.6522	0.8481	1.52663019006776e-58	4.0020770483873e-53	9.40413888326887e-49
chr8	73795303	73796641	OD_hyper	OD_hyper	1339	9	111.927645645418	0.5725	0.8833	0.6594	0.8941	0.6382	0.7943	7.16063375634255e-13	3.36563129852797e-53	4.39948472084193e-14
chr13	79977610	79979197	OD_hyper	OD_hyper	1588	11	111.920020842238	0.1318	0.3245	0.1463	0.3745	0.209	0.3657	1.81471006846177e-11	1.55008086712588e-27	2.80960733483605e-34
chr6	114703205	114704102	OD_hyper	OD_hyper	898	6	111.915420534968	0.5021	0.9288	0.5169	0.8906	0.6602	0.9359	1.63959375097456e-35	5.33577996783256e-91	1.84267348504975e-39
chr9	16530516	16531636	OD_hyper	OD_hyper	1121	7	111.872864274802	0.4925	0.8654	0.4492	0.9067	0.4946	0.8502	9.15999772285374e-17	1.92572410926406e-73	2.05937130046147e-52
chr19	29678418	29680088	OD_hyper	OD_hyper	1671	9	111.862653170673	0.3266	0.7856	0.4548	0.7375	0.4771	0.7448	1.79527614498162e-22	4.5191015027468e-155	9.21416841012917e-87
chr17	71985082	71985614	OD_hyper	OD_hyper	533	9	111.853431048651	0.5073	0.8558	0.6522	0.9047	0.5312	0.8911	6.60685517128278e-23	2.22375583010197e-46	2.59483892706347e-77
chr18	24361733	24363194	OD_hyper	OD_hyper	1462	8	111.82978113726	0.4767	0.8852	0.6225	0.8627	0.5748	0.8196	4.95352224243893e-08	2.39896140152294e-56	7.51206261186682e-30
chr2	62481445	62482608	OD_hyper	OD_hyper	1164	6	111.828768831235	0.5178	0.9331	0.5541	0.9565	0.3674	0.937	1.36587248787728e-19	7.12378869368714e-89	9.08273363636017e-118
chr1	163041887	163045683	OD_hyper	OD_hyper	3797	7	111.825106289803	0.4737	0.825	0.499	0.8388	0.4678	0.9216	2.20806082923631e-17	3.44250780970185e-61	0
chr6	69348580	69349353	OD_hyper	OD_hyper	774	11	111.803908460865	0.0814	0.3217	0.1323	0.3084	0.122	0.3884	4.19096802285347e-24	2.69649864835389e-67	1.43462095190386e-84
